,sentence
12,Mortgage holder: obvion.
51,Reimbursement is sometimes also called called a fine.
52,The mortgagor is obliged: 1.
56,Always give Obvion or its authorized representative for inspection and (re)valuation free access to the collateral.
62,Then Obvion may make these payments at its expense of the mortgagor on his behalf or for him.
75,"Immediately inform Obvion about:  a. bankruptcy of the borrower and/or the mortgagor, or the application or declaration thereof; b. declaration of application or application for a moratorium or a debt rescheduling  arrangement on or by the borrower and/or the mortgagor;  c. declaration of application or application of another (foreign) insolvency arrangement  on or by the borrower and/or mortgagor;  d. transfer, expropriation, claim or forfeiture of the collateral; e. termination or threatened termination of any insurance in respect of the  collateral;  f. damage to the collateral that can lead to a decrease in the value of the home; g. any other circumstance that:  can lead to a (forced) sale of the collateral; may decrease the value of the collateral; may be of importance to Obvion in connection with its right of mortgage."
89,"h. dividing the collateral, splitting it into apartments or relinquishing easements today."
91," i. erecting or rebuilding, demolishing, building up or other works or parts of the collateral,  remove or sign up for a demolition or remediation scheme."
96,l. give the collateral for repair or for other work if it is  collateral may as a result be exposed to the exercise of a right of retention.
97,Obvion may defend and use legal remedies on behalf of the mortgagor if someone files a claim against the mortgagor or makes an instruction or notice with regard to the collateral.
130,The costs of this will be borne by the mortgagor.
134,Obvion may not:  a. with the usual notices of being for sale (or having them provided for).
137,The costs of this are borne by the mortgagor.
142,The mortgagor can never reclaim the costs he incurs for the collateral  from Obvion;  c.
159, b. Costs of (re)valuation or inspection of the collateral.
165,"All costs that Obvion incurs in the context of management, eviction,taking and foreclosure foreclosure."
226, Obvion is authorized to make a payment on your behalf or for you.
271,Do you receive an invoice from the contractor or supplier for the construction or renovation?
420,"Do you transfer the house, or part of it, to: your husband or wife; your registered partner; the person with whom you share a household; a company or partnership in which you participate."
422, b. in the event of the death of a borrower up to one year after death after payment of a life insurance policy that is used for additional repayment of the loan.
425,e. in the event of complete destruction of the house.
459,"Obvion will in any case not cooperate with the request for change, in the event of improper use."
516,And if you do not respond in writing within 1 month after  provision?
520,Unless you can provide evidence to the contrary.
524,what you or a third-party mortgagor  has agreed with Obvion.
526, b. You or a third party lender has told Obvion something that is not true or incomplete.
528,"In the opinion of Obvion, you or a third-party mortgagor poses a risk to  the reliability or reputation of Obvion or the financial sector."
530,"You or a third-party mortgagor:  dies; no longer lives in the Netherlands, or will no longer be living in a few months  live in the Netherlands;  files for bankruptcy or is declared bankrupt; is placed under guardianship or loses free management of your or his assets; requests suspension of payment."
532,A creditors' agreement is offered by or for you or a third-party mortgagor.
533,The assets of you or a third-party mortgagor are placed under administration or management.
534,The assets of you or a third-party mortgagor will be seized.
536," i. Something is happening that, in Obvion's judgment, has led (or may lead) to a  disproportionate restriction on Obvion's rights."
537,"Your collateral or the collateral of a third-party mortgagor:  is transferred, expropriated, requisitioned or confiscated; is subject to another administrative coercion measure;  becomes worth much less; are you using for a purpose other than the purpose at the time the right of  gets damaged or is (partially) lost;  mortgage has been granted to Obvion;  is no longer inhabited or will no longer be inhabited within a few months."
546,"There is no permit required to build, renovate or use your home, expires or is revoked."
873,Or with the proceeds from the sale of your home.
