,sentence
115,Then the following applies.
171,That means the following.
255,Obvion calls this the value date.
329,Obvion calls this the fee-free sum.
434,This is called daily interest.
483,This is what Obvion calls the take-away arrangement.
487,This is what Obvion calls the transfer arrangement.
490,  Obvion calls these two options the relocation facility.
563,That's called transference.
681,But then Obvion gives that  to her offer.
690,This is called Interest Free.
701,This is called Interest rate choice.
725,interest averaging”.
